,,,PRICE,,,,,,,,,,,BRAKES,,,DIMENSIONS,,,,,SAFETY,,,,,,,EQUIPMENT,,,,,,,,,,,
brand,model,year,max,min,adult passangers,weight,transmission,fuel,tank,fuel_consumption,4x4/awd,big_volume_cargo,trunk_size,front_break,rear_break,braking_assists,length,width,height,dist_axis,height_to_the ground,front_airbags,side_airbags,curtain_air_bags,knee_air_bags,tire_pressure_monitor,NCAP,emergency_brake,reverse_camera,camera_360,bluetooth,android_auto/apple+play,cruise_control ,cruise_control_advanced,blind_spot_alert,rain_sensor,car_tow,car_pull,body_type,segment
Toyota,Yaris,2024,"$388,700","$312,800",5,1035,A/S,Gas,40,20,no,no,475,disc_brakes,drum_brakes,VSC/TRAC/HAC,4.4,1.6,1.4,2.6,normal,yes,yes,yes,no,yes,5,,yes,no,yes,yes,yes,yes,yes,no,no,no,Sedan,Sedan-SmallSize
Toyota,Corolla,2024,"$529,900","$419,900",5,1405,A,Gas,50,18,no,no,361,disc_brakes,disc_brakes,VSC/TRAC/HAC,4.6,1.78,1.4,2.7,normal/0.15,yes,yes,yes,yes,yes,5,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,Sedan,Sedan-MidSize
Toyota,Cambry,2024,"$598,800","$571,900",5,1515,A,Gas,60.6,18,no,no,427,disc_brakes,disc_brakes,VSC/TRAC/HAC,4.8,1.8,1.4,2.8,normal/0.15,yes,yes,yes,yes,yes,5,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,Sedan,Sedan-Fullsize*
Toyota,Raize,2024,"$400,000","$378,400",5,1035,A/S,Gas,36,19,no,no,369,disc_brakes,drum_brakes,VSC/TRAC/HAC,4,1.7,1.6,2.5,high,yes,yes,yes,no,yes,5,no,yes,no,yes,yes,no,no,no,no,no,no,SUV,SUV-SmallSize
Toyota,Corolla Cross,2024,"$528,700","$528,700",5,1425,A,Gas,47,20,no,no,500,disc_brakes,disc_brakes,VSC/TRAC/HAC,4.4,1.82,1.6,2.6,high/0.20,yes,yes,yes,yes,yes,5,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,SUV,SUV-MidSize
Toyota,Rav4,2024,"$727,800","$562,800",5,1695,A,Gas,55,17,yes,no,595,disc_brakes,disc_brakes,VSC/TRAC/HAC/DAC,4.6,1.86,1.6,2.6,high/0.21,yes,yes,yes,yes,yes,5,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,SUV,SUV-FullSize
Toyota,Highlander HEV,2024,"$1,004,400","$879,400",8,2000,A,Gas,65,15,no,no,755,disc_brakes,disc_brakes,VSC/TRAC/HAC,4.9,1.9,1.7,2.85,high/0.20,yes,yes,yes,yes,yes,5,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,SUV,SUV-ExtendedSize/Hybrid
Toyota,Sequioa HEV,2024,"$1,693,600","$1,548,700",8,2750,A,Gas/Hybrid,85,10,yes,no,800,disc_brakes,disc_brakes,VSC/TRAC/HAC,5.2,2,1.8,3.1,high/0.221,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,SUV,SUV-ExtendedSize/Hybrid
Toyota,Hilux,2024,"$638,500","$535,400",5,1815,A/S,Gas/Diesel,80,11,yes,yes,1000,disc_brakes,drum_brakes,HAC/TSC/VSC/TRAC,5.2,1.8,1.8,3,extra_high,yes,yes,yes,yes,no,5,no,yes,no,yes,yes,no,no,no,no,yes,yes,Pickup,Pickup-MidSize
Toyota,Tacoma,2024,"$969,900","$769,900",5,1965,A,Gas,69,10,yes,yes,1000,disc_brakes,disc_brakes,HAC/TSC/VSC/TRAC,5.4,1.9,1.8,3.3,extra_high,yes,yes,yes,yes,yes,5,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,Pickup,Pickup-MidSize
Toyota,Avanza,2024,"$387,900","$354,700",7,1150,A/S,Gas,43,16,no,no,585,disc_brakes,drum_brakes,VSC/TRAC/HAC,4.3,1.7,1.6,2.7,normal/0.190,yes,yes,yes,no,no,5,no,yes,no,yes,yes,no,no,no,no,no,no,MiniVan,SUV-MidSize
Toyota,Sienna HEV,2024,"$1,108,000","$891,600",8,2100,A,Gas/Hybrid,68,20,no,no,779,disc_brakes,disc_brakes,VSC/TRAC/SST,5.1,1.9,1.7,3,normal/0.180,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,MiniVan,MiniVan/Hybrid
Toyota,Prius,2024,"$559,000","$484,900",5,1395,A,Gas/Hybrid,43,24,no,no,361,disc_brakes,disc_brakes,VSC/TRAC/SST,4.5,1.7,1.4,2.7,normal,yes,yes,yes,yes,yes,5,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,Sedan,Sedan/MidSize/Hybrid
Toyota,Tundra HEV,2024,"$1,633,700","$1,422,300",5,2750,A,Gas/Hybrid,122,9.35,yes,yes,1000,disc_brakes,disc_brakes,HAC/TSC/VSC/TRAC/,5.9,2,1.9,3.1,extra_high/0.282,yes,yes,yes,yes,yes,5,yes,yes,,yes,yes,yes,yes,yes,yes,yes,yes,Pickup,Pickup-FullSize/Hybrid
Honda,City,2024,"$463,900","$401,900",5,1140,A,Gas,40,21,no,no,519,disc_brakes,drum_brakes,Sistme de traccion delantera,4.5,1.7,1.4,2.6,normal,yes,yes,yes,no,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,Sedan,Sedan-MidSize
Honda,Civic,2024,"$659,900","$550,900",5,1379,A,Gas,46,20,no,no,408,disc_brakes,disc_brakes,Sistema ECO Assist,4.6,1.8,1.4,2.7,normal,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,Sedan,Sedan-MidSize
Honda,Accord,2024,"$755,900","$755,900",5,1571,A,Gas,56,18,no,no,472,disc_brakes,disc_brakes,Sistema ECO Assist,4.9,1.8,1.45,2.8,normal,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,Sedan,Sedan-FullSize
Honda,Accord Hybrid,2024,"$895,900","$895,900",5,1642,A,Gas/Hybrid,48.5,22,no,no,472,disc_brakes,disc_brakes,Sistema ECO Assist,4.9,1.8,1.45,2.8,normal,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,Sedan,Sedan-FullSize/Hybrid
Honda,BR-V,2024,"$519,900","$480,900",7,1297,A,Gas,42,17,no,no,244,disc_brakes,disc_brakes,Sistema ECO Assist,4.49,1.7,1.6,2.611,high,yes,yes,yes,no,yes,5,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,SUV,SUV-MidSize
Honda,HR-V,2024,"$654,900","$489,900",5,1465,A,Gas,57,16,no,no,473,disc_brakes,disc_brakes,Sistema ECO Assist,4.56,1.8,1.6,2.65,high,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,SUV,SUV-MidSize
Honda,CR-V,2024,"$844,900","$739,900",5,1609,A,Gas,57,17,no,no,780,disc_brakes,disc_brakes,Sistema ECO Assist,4.6,1.8,1.6,2.7,high,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,SUV,SUV-Fullsize
Honda,CR-V Hybrid,2024,"$929,900","$929,900",5,1736,A,Gas/Hybrid,57,22.1,no,no,780,disc_brakes,disc_brakes,Sistema ECO Assist,4.6,1.8,1.6,2.7,high,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,SUV,SUV-Fullsize/Hybrid
Honda,Pilot,2024,"$1,195,900","$1,165,900",8,2004,A,Gas,70,12,no,no,780,disc_brakes,disc_brakes,Sistema ECO Assist,5,1.9,1.7,2.89,high,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,SUV,SUV-ExtendedSize
Honda,Odyssey,2024,"$1,154,900","$1,124,900",8,2072,A,Gas,73.8,13,no,no,886,disc_brakes,disc_brakes,Sistema ECO Assist,5.2,1.995,1.7,3,normal,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,SUV,MiniVan
Chevrolet,Aveo Hatchback,2024,"$335,900","$305,900",5,1530,A/S,Gas,45,18,no,no,304,disc_brakes,disc_brakes,Control de estabilidad (StabiliTrak)	/ABS,4.1,1.65,1.4,2.55,normal,yes,yes,yes,no,no,3,no,yes,no,yes,yes,no,no,no,no,no,no,Hatchback,Ciudad
Chevrolet,Aveo Sedan,2024,"$345,900","$295,400",5,1550,A/S,Gas,45,20,no,no,475,disc_brakes,disc_brakes,Control de estabilidad (StabiliTrak)	/ABS,4.49,1.65,1.49,2.55,normal,yes,yes,yes,no,yes,3,no,yes,no,yes,yes,no,no,no,no,no,no,Sedan,Sedan-SmallSize
Chevrolet,Onix,2024,"$411,900","$320,900",5,1495,A/S,Gas,44,22,no,no,469,disc_brakes,disc_brakes,Control de estabilidad (StabiliTrak)	/ABS,4.47,1.7,1.4,2.5,normal,yes,yes,yes,no,no,5,no,yes,no,yes,no,no,no,no,no,no,no,Sedan,Sedan-SmallSize
Chevrolet,Cavalier,2024,"$500,400","$440,900",5,1705,A,Gas,44,19.11,no,no,405,disc_brakes,disc_brakes,Control de estabilidad (StabiliTrak)	/ABS,4.6,1.7,1.4,2.6,normal,yes,yes,no,no,yes,4,no,yes,no,yes,yes,yes,no,no,no,no,no,Sedan,Sedan-MidSize
Chevrolet,Groove,2024,"$452,900","$385,900",5,1635,A/S,Gas,45,16.8,no,no,471,disc_brakes,disc_brakes,Control de estabilidad (StabiliTrak)	/ABS,4.2,1.74,1.615,2.55,high,yes,yes,no,no,yes,4,no,yes,no,yes,yes,no,no,no,no,no,yes,SUV,SUV-SmallSize
Chevrolet,Tracker,2024,"$545,700","$422,400",5,1677,A/S,Gas,44,18,no,no,681,disc_brakes,drum_brakes,StabiliTrack/ABS/EBD/TCS,4.27,1.79,1.6,2.57,high,yes,yes,yes,no,yes,5,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,SUV,SUV-SmallSize
Chevrolet,Captiva,2024,"$557,100","$489,200",7,2160,A,Gas,52,15,no,no,304,disc_brakes,disc_brakes,StabiliTrack/ABS/EBD/TCS,4.715,1.835,1.75,2.75,high,yes,yes,yes,no,yes,5,no,yes,yes,yes,yes,yes,no,no,no,no,yes,SUV,SUV-FullSize
Chevrolet,Trax,2024,"$582,300","$507,100",5,1880,A,Gas,50,17.6,no,no,414,disc_brakes,disc_brakes,StabiliTrack/ABS/EBD/TCS,4.537,1.823,1.56,2.57,high,yes,yes,yes,no,yes,5,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,SUV,SUV-MidSize
Chevrolet,Traverse,2024,"$1,131,100","$1,131,100",8,1975,A,Gas,73,11.8,no,no,651.2,disc_brakes,disc_brakes,StabiliTrack/ABS/EBD/TCS,5.189,1.996,1.796,3.07,high,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,SUV,SUV-ExtendedSize
Chevrolet,Blazer,2024,"$1,132,400","$1,132,400",5,1883,A,Gas,73,12,no,no,780,disc_brakes,disc_brakes,StabiliTrack/ABS/EBD/TCS,4.85,1.95,1.676,2.863,high,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,SUV,SUV-FullSize
Chevrolet,Tahoe,2024,"$1,921,100","$1,702,600",8,3357,A,Gas,98,9,yes,no,700,disc_brakes,disc_brakes,StabiliTrack/ABS/EBD/TCS,5.351,2.058,1.927,3.071,high/0.204,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,SUV,SUV-ExtendedSize
Chevrolet,Suburban,2024,"$2,073,900","$1,854,900",8,3447,A,Gas,110,8,yes,no,971,disc_brakes,disc_brakes,StabiliTrack/ABS/EBD/TCS,5.732,2.059,1.823,3.407,high/0.204,yes,yes,yes,yes,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,SUV,SUV-ExtendedSize
Chevrolet,Montana,2024,"$581,900","$517,400",5,1910,A,Gas,44,18.6,no,yes,637,disc_brakes,drum_brakes,StabiliTrack/ABS/EBD/TCS,4.717,1.798,1.659,2.8,high/0.185,yes,yes,yes,no,no,5,no,yes,no,yes,yes,yes,no,yes,no,no,yes,Pickup,Pickup-SmallSize
Chevrolet,S10 Max,2024,"$689,400","$495,400",5,2028,S,Gas,75,11.6,yes,yes,"1,010",disc_brakes,disc_brakes,StabiliTrack/ABS/EBD/TCS,5.365,1.9,1.814,3.155,extra_high,yes,yes,yes,no,no,5,no,yes,no,yes,yes,yes,no,no,no,Si/500,yes,Pickup,Pickup-MidSize
Chevrolet,Colorado,2024,"$970,400","$1,165,900",5,2127,A,Gas,91,10,yes,yes,"1,781",disc_brakes,disc_brakes,StabiliTrack/ABS/EBD/TCS,5.358,2.061,1.927,3.2,extra_high,yes,yes,yes,no,yes,5,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,Pickup,Pickup-MidSize
Chevrolet,Cheyenne,2024,"$1,818,900","$1,051,900",5,3000,A,Gas,91,7.9,yes,yes,2100,disc_brakes,disc_brakes,StabiliTrack/ABS/EBD/TCS,5.885,2.063,2.018,3.745,extra_high,yes,yes,yes,no,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,Pickup,Pickup-FullSize
Nissan,March,2024,"$270,000","$345,900",5,1016,A/S,Gas,41,18,no,no,230,disc_brakes,drum_brakes,ABS/EBD/BA,3.8,1.66,1.528,2.45,normal,yes,yes,yes,,yes,2,no,yes,no,yes,no,no,no,no,no,no,no,Hashback,Ciudad
Nissan,Versa,2024,"$340,000","$430,000",5,1143,A/S,Gas,41,19,no,no,330,disc_brakes,drum_brakes,ABS/EBD/BA,4.4,1.7,1.47,2.6,normal,yes,yes,yes,,yes,3,no,yes,no,yes,yes,yes,no,no,no,no,no,Sedan,Sedan-SmallSize
Nissan,Sentra,2024,"$400,000","$545,000",5,1330,A/S,Gas,47,17,no,no,466,disc_brakes,disc_brakes,ABS/EBD/BA,4.6,1.8,1.45,2.7,normal,yes,yes,yes,,yes,5,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,Sedan,Sedan-MidSize
